"gender","name","score"
"f","milissa","0.008037"
"f","gwyneth","0.012400"
"f","timothy","0.007180"
"f","roni","0.008567"
"f","bonita","0.025094"
"f","rona","0.007270"
"f","yuliana","0.015144"
"f","inger","0.006700"
"f","anabelle","0.019440"
"f","anabella","0.016050"
"f","tonja","0.018206"
"f","john","0.013852"
"f","genesis","0.069345"
"f","mistie","0.008833"
"f","geneva","0.014389"
"f","abril","0.016983"
"f","chantel","0.021062"
"f","bethzy","0.014400"
"f","gayla","0.015923"
"f","tamekia","0.009300"
"f","alondra","0.087731"
"f","helen","0.070634"
"f","gretchen","0.037150"
"f","devan","0.015713"
"f","babette","0.007400"
"f","nakia","0.021731"
"f","bethann","0.006400"
"f","laquita","0.011168"
"f","bethany","0.094174"
"f","rosario","0.007956"
"f","charlie","0.018120"
"f","stacey","0.170351"
"f","anahi","0.037931"
"f","rae","0.013086"
"f","jacklyn","0.017896"
"f","shonna","0.009386"
"f","shaniya","0.018482"
"f","cayla","0.019648"
"f","ilene","0.010111"
"f","ginger","0.052657"
"f","shyla","0.015200"
"f","sharyl","0.006300"
"f","sharyn","0.006300"
"f","lula","0.008683"
"f","bonny","0.007700"
"f","gabriela","0.074504"
"f","terrie","0.027961"
"f","harper","0.040483"
"f","kaye","0.010380"
"f","chrystal","0.022242"
"f","kaya","0.021990"
"f","cristin","0.011033"
"f","teagan","0.029691"
"f","belen","0.013670"
"f","shaniqua","0.026350"
"f","kiera","0.032973"
"f","susie","0.024378"
"f","lexie","0.023187"
"f","marleigh","0.013500"
"f","victoria","0.338612"
"f","marin","0.013900"
"f","shianne","0.012675"
"f","marie","0.092340"
"f","lexis","0.010667"
"f","maria","0.386600"
"f","karri","0.009885"
"f","kiya","0.011700"
"f","hanna","0.054389"
"f","flor","0.011450"
"f","sheryl","0.068518"
"f","cami","0.012633"
"f","lyla","0.050640"
"f","katlynn","0.012050"
"f","jaycee","0.015808"
"f","mildred","0.025396"
"f","constance","0.038060"
"f","agnes","0.012958"
"f","toccara","0.012933"
"f","terese","0.010238"
"f","lasonya","0.007550"
"f","teresa","0.271012"
"f","bonnie","0.099509"
"f","rowena","0.006433"
"f","katerina","0.011490"
"f","liza","0.018336"
"f","asia","0.045406"
"f","keesha","0.009080"
"f","maribeth","0.008987"
"f","deedee","0.007482"
"f","raelyn","0.014400"
"f","louisa","0.007230"
"f","carie","0.012764"
"f","louise","0.028277"
"f","stephany","0.018826"
"f","haleigh","0.027810"
"f","skye","0.024522"
"f","carin","0.008636"
"f","shannan","0.012260"
"f","stephani","0.020250"
"f","maryann","0.025951"
"f","rylie","0.035462"
"f","monica","0.234222"
"f","roseanne","0.007650"
"f","tammi","0.029139"
"f","abigayle","0.015855"
"f","roseanna","0.008900"
"f","lainey","0.018557"
"f","mellissa","0.010885"
"f","sheyla","0.012850"
"f","christopher","0.016300"
"f","tammy","0.428164"
"f","priscila","0.011900"
"f","johanna","0.031754"
"f","sabrina","0.131406"
"f","valorie","0.009717"
"f","janiah","0.014833"
"f","tasia","0.013450"
"f","tommie","0.006425"
"f","lanette","0.008531"
"f","erika","0.127526"
"f","jacey","0.014836"
"f","sherita","0.010092"
"f","debbra","0.006980"
"f","lexus","0.018785"
"f","juliet","0.016245"
"f","carleigh","0.012700"
"f","melissia","0.007100"
"f","sherrie","0.039236"
"f","avery","0.114124"
"f","keisha","0.035631"
"f","melissa","0.801124"
"f","tressa","0.009178"
"f","josefina","0.007895"
"f","debi","0.011360"
"f","lupe","0.010290"
"f","taraji","0.015400"
"f","aaliyah","0.136925"
"f","felisha","0.011128"
"f","drew","0.013910"
"f","gwyn","0.006200"
"f","savana","0.013820"
"f","coraima","0.011200"
"f","raelynn","0.015500"
"f","meredith","0.066206"
"f","shawnda","0.008417"
"f","kanesha","0.009600"
"f","juanita","0.048567"
"f","yesenia","0.048821"
"f","china","0.010750"
"f","delia","0.015316"
"f","gwen","0.022473"
"f","toni","0.072787"
"f","bettina","0.008707"
"f","karen","0.497812"
"f","kaylan","0.011267"
"f","quinn","0.018087"
"f","tiana","0.030491"
"f","katarina","0.018087"
"f","priscilla","0.063438"
"f","cailyn","0.016700"
"f","chloe","0.222957"
"f","savanna","0.046450"
"f","gidget","0.009100"
"f","kelsi","0.021812"
"f","tina","0.293802"
"f","jordin","0.021133"
"f","michele","0.223502"
"f","riley","0.138195"
"f","calista","0.017571"
"f","talia","0.027706"
"f","ariane","0.010000"
"f","sunshine","0.015825"
"f","ariana","0.099781"
"f","raegan","0.027462"
"f","sharday","0.009200"
"f","joi","0.009200"
"f","iesha","0.017276"
"f","jenniffer","0.007800"
"f","sheridan","0.012380"
"f","charisse","0.008364"
"f","fallon","0.016433"
"f","charissa","0.009630"
"f","tana","0.010315"
"f","vikki","0.011207"
"f","keeley","0.011125"
"f","milagros","0.010123"
"f","della","0.018533"
"f","veronica","0.169484"
"f","tennille","0.027767"
"f","tashina","0.009300"
"f","cheryl","0.274945"
"f","jalissa","0.009000"
"f","audrey","0.107952"
"f","juana","0.010629"
"f","griselda","0.012120"
"f","madonna","0.008400"
"f","tresa","0.009754"
"f","brenna","0.032326"
"f","yoselin","0.018712"
"f","lorelai","0.015200"
"f","niki","0.011056"
"f","jerry","0.006757"
"f","jolene","0.028685"
"f","adamaris","0.013600"
"f","harmony","0.022100"
"f","millie","0.008512"
"f","miya","0.012710"
"f","jerri","0.019417"
"f","lizbeth","0.041695"
"f","karin","0.032090"
"f","evie","0.017500"
"f","ella","0.087464"
"f","nia","0.031548"
"f","elle","0.029213"
"f","dorene","0.009890"
"f","kim","0.200381"
"f","kia","0.012154"
"f","amya","0.029370"
"f","darla","0.048535"
"f","larissa","0.024500"
"f","isamar","0.015033"
"f","dylan","0.021210"
"f","kyla","0.042880"
"f","kyle","0.011535"
"f","chantelle","0.010664"
"f","kristy","0.089639"
"f","reese","0.067440"
"f","elyssa","0.011807"
"f","taina","0.012500"
"f","jean","0.083411"
"f","azariah","0.013300"
"f","karina","0.064122"
"f","marcy","0.028083"
"f","gilda","0.006250"
"f","kala","0.016831"
"f","ivette","0.011441"
"f","tamya","0.012750"
"f","kali","0.027461"
"f","jalynn","0.013017"
"f","jalyn","0.014925"
"f","sheena","0.053311"
"f","ciara","0.052918"
"f","campbell","0.017986"
"f","jazmine","0.057312"
"f","yolonda","0.009009"
"f","melany","0.027600"
"f","cherry","0.008593"
"f","keli","0.008988"
"f","genevieve","0.024996"
"f","trina","0.048048"
"f","cherri","0.007533"
"f","suzan","0.010540"
"f","dorthy","0.006050"
"f","alexys","0.012583"
"f","anya","0.026900"
"f","althea","0.009277"
"f","maya","0.074330"
"f","carisa","0.010667"
"f","anais","0.012200"
"f","vanessa","0.228792"
"f","moriah","0.018641"
"f","reyna","0.016697"
"f","bailey","0.135078"
"f","eboni","0.012138"
"f","gracelyn","0.018550"
"f","unique","0.012990"
"f","jadyn","0.042273"
"f","martha","0.094296"
"f","bobby","0.007167"
"f","brooklynn","0.043753"
"f","alice","0.064152"
"f","macie","0.026125"
"f","adria","0.008670"
"f","gwendolyn","0.040694"
"f","shirlene","0.006125"
"f","bobbi","0.027079"
"f","maleah","0.016229"
"f","meghann","0.013670"
"f","kaila","0.024800"
"f","jennifer","1.587178"
"f","neva","0.006200"
"f","aspen","0.021559"
"f","jorja","0.012800"
"f","sharlene","0.012207"
"f","monserrat","0.018110"
"f","cherrelle","0.010200"
"f","veda","0.006200"
"f","madalyn","0.033778"
"f","cora","0.019490"
"f","sadie","0.043056"
"f","lucille","0.018191"
"f","cori","0.015163"
"f","nevaeh","0.204422"
"f","madyson","0.030107"
"f","trish","0.010425"
"f","kimberlie","0.007533"
"f","cory","0.012063"
"f","abagail","0.013364"
"f","coral","0.009500"
"f","kaitlyn","0.271011"
"f","latrina","0.008250"
"f","estefania","0.014475"
"f","jenifer","0.027172"
"f","daneen","0.006700"
"f","cherish","0.013577"
"f","shantel","0.016171"
"f","emilia","0.020050"
"f","cherise","0.007786"
"f","corrine","0.010257"
"f","emilie","0.020460"
"f","corrina","0.007829"
"f","cathrine","0.006275"
"f","fern","0.008400"
"f","crysta","0.009900"
"f","madilyn","0.030683"
"f","jena","0.015022"
"f","quiana","0.013525"
"f","tami","0.060882"
"f","halle","0.028753"
"f","joseph","0.009308"
"f","kenzie","0.020088"
"f","gia","0.014993"
"f","hadassah","0.013333"
"f","jane","0.078128"
"f","jana","0.039507"
"f","kassidy","0.036000"
"f","bettie","0.007067"
"f","teela","0.009700"
"f","yuridia","0.013467"
"f","leilani","0.020558"
"f","djuana","0.009700"
"f","melanie","0.207724"
"f","bernice","0.021083"
"f","beckie","0.005800"
"f","kaitlin","0.096407"
"f","isis","0.021038"
"f","aniyah","0.053773"
"f","mareli","0.019800"
"f","demetria","0.014279"
"f","kylah","0.013550"
"f","kameron","0.011200"
"f","marnita","0.008450"
"f","jesenia","0.009700"
"f","marely","0.027700"
"f","nichelle","0.016700"
"f","geralyn","0.010467"
"f","ayla","0.019174"
"f","mariela","0.018175"
"f","zena","0.009933"
"f","jaimie","0.019190"
"f","tea","0.014350"
"f","kylene","0.010150"
"f","cassie","0.038198"
"f","adelaide","0.020000"
"f","tamela","0.015747"
"f","ember","0.015300"
"f","sherie","0.008183"
"f","holli","0.012788"
"f","zana","0.012800"
"f","brianna","0.323456"
"f","kelsie","0.032420"
"f","brianne","0.034946"
"f","holly","0.188986"
"f","joni","0.030377"
"f","tia","0.033781"
"f","laurene","0.006150"
"f","tamala","0.007878"
"f","phoenix","0.016443"
"f","irma","0.023175"
"f","meghan","0.110518"
"f","caitlynn","0.012314"
"f","devon","0.030293"
"f","cambria","0.013200"
"f","maureen","0.078029"
"f","miranda","0.109094"
"f","adrianne","0.014297"
"f","adrianna","0.049670"
"f","loren","0.013843"
"f","dulce","0.028470"
"f","leah","0.157868"
"f","myah","0.018350"
"f","cathleen","0.025954"
"f","bambi","0.011591"
"f","paige","0.119428"
"f","janette","0.019975"
"f","azaria","0.013767"
"f","sandie","0.005800"
"f","lorna","0.018981"
"f","mandie","0.010675"
"f","allyssa","0.013675"
"f","caleigh","0.013017"
"f","madison","0.578856"
"f","laura","0.566904"
"f","parker","0.019773"
"f","marion","0.019986"
"f","mila","0.023900"
"f","lauri","0.023335"
"f","colleen","0.116162"
"f","brenda","0.295448"
"f","tosha","0.015181"
"f","marissa","0.125311"
"f","lorraine","0.052333"
"f","brandie","0.030842"
"f","alani","0.014400"
"f","gigi","0.010529"
"f","latoria","0.009280"
"f","alexandrea","0.018513"
"f","melonie","0.008473"
"f","alana","0.040856"
"f","lailah","0.016400"
"f","rosemarie","0.022372"
"f","jazmin","0.059786"
"f","jeri","0.022185"
"f","zhane","0.015350"
"f","hannah","0.358356"
"f","mylee","0.025667"
"f","nylah","0.019600"
"f","maliah","0.017500"
"f","deirdre","0.020719"
"f","margarita","0.024626"
"f","henrietta","0.009578"
"f","cathie","0.008000"
"f","esperanza","0.012466"
"f","ollie","0.007000"
"f","minnie","0.011042"
"f","porsha","0.012544"
"f","viridiana","0.010825"
"f","ashely","0.017562"
"f","romona","0.006650"
"f","sarahi","0.013770"
"f","shanda","0.015609"
"f","meadow","0.015756"
"f","trena","0.010087"
"f","kaylen","0.015500"
"f","trisha","0.051208"
"f","sherryl","0.006525"
"f","jaidyn","0.019922"
"f","tatyanna","0.011200"
"f","kandace","0.011283"
"f","denita","0.006400"
"f","barbie","0.007763"
"f","ivanna","0.013700"
"f","eliza","0.023419"
"f","celestine","0.006500"
"f","cecily","0.014620"
"f","sharee","0.009200"
"f","alina","0.025275"
"f","angelina","0.073068"
"f","davina","0.009989"
"f","dedra","0.008647"
"f","kami","0.013014"
"f","jerica","0.013257"
"f","gladys","0.019274"
"f","nakisha","0.010714"
"f","darcie","0.010169"
"f","kenyatta","0.010188"
"f","galilea","0.014417"
"f","shawnte","0.012600"
"f","lilyanna","0.013100"
"f","yajaira","0.010520"
"f","jeanine","0.026428"
"f","dusty","0.012600"
"f","jayda","0.042100"
"f","madisyn","0.033654"
"f","shelia","0.058778"
"f","dee","0.020262"
"f","nereida","0.008300"
"f","lizette","0.013812"
"f","gloria","0.085666"
"f","jammie","0.012717"
"f","janice","0.096146"
"f","dayami","0.018900"
"f","margot","0.006714"
"f","micayla","0.010900"
"f","doris","0.042485"
"f","nicolette","0.021511"
"f","daijah","0.010200"
"f","candice","0.071125"
"f","mckenna","0.064984"
"f","shelley","0.082382"
"f","mariyah","0.017100"
"f","jan","0.036804"
"f","ariel","0.080631"
"f","retha","0.006100"
"f","angela","0.651012"
"f","shelbie","0.016233"
"f","roxanna","0.010579"
"f","roxanne","0.046893"
"f","kristian","0.014050"
"f","krystal","0.075974"
"f","vonetta","0.009200"
"f","athena","0.017300"
"f","shanice","0.032325"
"f","kerry","0.058084"
"f","claudette","0.012200"
"f","brittnay","0.009600"
"f","patience","0.015188"
"f","takisha","0.010580"
"f","casey","0.089091"
"f","jailyn","0.012386"
"f","kerri","0.049533"
"f","carissa","0.033907"
"f","olive","0.018467"
"f","amelia","0.068426"
"f","taniya","0.017067"
"f","celina","0.015490"
"f","judi","0.015064"
"f","malinda","0.019083"
"f","amina","0.014644"
"f","azul","0.020267"
"f","judy","0.091305"
"f","katlyn","0.039282"
"f","phoebe","0.024140"
"f","natasha","0.109347"
"f","kenneth","0.006133"
"f","edna","0.023752"
"f","kya","0.014271"
"f","nyree","0.009450"
"f","kaiya","0.016511"
"f","ximena","0.036267"
"f","arleen","0.010537"
"f","evita","0.011800"
"f","beverley","0.006900"
"f","bessie","0.011820"
"f","tiesha","0.010200"
"f","winter","0.011150"
"f","sidney","0.038710"
"f","kenia","0.012733"
"f","micaela","0.017970"
"f","anneliese","0.013300"
"f","sunday","0.006200"
"f","shasta","0.011091"
"f","nya","0.016100"
"f","lorinda","0.007783"
"f","amaya","0.071518"
"f","may","0.006750"
"f","alysa","0.013081"
"f","alyse","0.014986"
"f","santana","0.014333"
"f","mae","0.011270"
"f","mai","0.010191"
"f","loriann","0.009175"
"f","sharde","0.010300"
"f","tamica","0.009683"
"f","coretta","0.012867"
"f","jakayla","0.016527"
"f","glynis","0.009975"
"f","jayleen","0.018250"
"f","jazmyne","0.011943"
"f","shiela","0.007633"
"f","marguerite","0.015985"
"f","tanja","0.007475"
"f","josephine","0.042004"
"f","susannah","0.008245"
"f","shelli","0.015972"
"f","diandra","0.009900"
"f","lyric","0.021340"
"f","irene","0.044976"
"f","rosetta","0.010992"
"f","aryanna","0.018720"
"f","felicia","0.096641"
"f","ronda","0.053824"
"f","tenisha","0.009878"
"f","willow","0.026900"
"f","tori","0.032908"
"f","keyla","0.014962"
"f","maia","0.023143"
"f","avis","0.009043"
"f","doretha","0.007225"
"f","kacey","0.014342"
"f","tory","0.010050"
"f","nettie","0.006567"
"f","tonia","0.039544"
"f","shayla","0.037769"
"f","thalia","0.020567"
"f","hali","0.012078"
"f","alisa","0.031872"
"f","lois","0.037267"
"f","jamey","0.009300"
"f","teri","0.050929"
"f","james","0.015813"
"f","tera","0.019471"
"f","magan","0.008960"
"f","kamila","0.022050"
"f","keri","0.042080"
"f","deandra","0.010533"
"f","benita","0.015889"
"f","deneen","0.026960"
"f","pamala","0.011838"
"f","lizabeth","0.006850"
"f","sariah","0.017667"
"f","giada","0.017000"
"f","contina","0.010500"
"f","suzanne","0.145932"
"f","suzanna","0.008617"
"f","sybil","0.008229"
"f","aleena","0.019100"
"f","evangeline","0.015691"
"f","jaelyn","0.029650"
"f","shenna","0.009900"
"f","kamryn","0.049517"
"f","nikki","0.040772"
"f","cary","0.008807"
"f","freida","0.005700"
"f","shanell","0.009567"
"f","tatyana","0.026706"
"f","cari","0.019242"
"f","miley","0.090467"
"f","brooke","0.177124"
"f","cara","0.049318"
"f","ora","0.006533"
"f","marla","0.035566"
"f","estella","0.010136"
"f","estelle","0.006967"
"f","marlo","0.020109"
"f","lyndsay","0.015831"
"f","lona","0.006200"
"f","lindsey","0.219503"
"f","essie","0.006500"
"f","loretta","0.060226"
"f","yamilet","0.014025"
"f","carri","0.009018"
"f","velda","0.005700"
"f","rachel","0.502066"
"f","katina","0.046927"
